combo,n_bodies,weights,all_high_plv,all_background_plv,all_contrast,train_high_plv,train_background_plv,train_contrast,test_high_plv,test_background_plv,test_contrast,train_score
Jupiter+Saturn+Uranus+Pluto,4,Jupiter:0.056545;Saturn:-0.365908;Uranus:-0.592465;Pluto:-0.715471,0.14750427611839653,0.02429117039360002,0.12321310572479652,0.6615194070877622,0.034673384830882545,0.6268460222568797,0.2744158079691033,0.020143812930181533,0.2542719950389218,0.6218460222568797
Venus+Saturn+Uranus+Pluto,4,Venus:0.620918;Saturn:0.187128;Uranus:0.650768;Pluto:0.394899,0.25021628778610666,0.010824641761044876,0.2393916460250618,0.8542829460226016,7.532415596294844e-09,0.854282938490186,0.24750982000054444,0.013185732050229356,0.2343240879503151,0.849282938490186
Mars+Neptune,2,Mars:-0.770056;Neptune:-0.637976,0.2507008832747833,0.015305749284921758,0.23539513398986153,0.2622998369169674,0.024969079377388587,0.2373307575395788,0.24901213977178066,0.01734503354768787,0.23166710622409278,0.2273307575395788
Saturn+Uranus+Pluto,3,Saturn:0.318026;Uranus:0.604204;Pluto:0.730614,0.14586314468566594,0.03265767395259173,0.11320547073307421,0.6632552602151995,0.042091169005048036,0.6211640912101515,0.2585586779909305,0.028458837616818132,0.23009984037411238,0.6144974245434848
Saturn+Uranus+Pluto+Moon,4,Saturn:0.316512;Uranus:0.609699;Pluto:0.726491;Moon:-0.017273,0.14188994826968268,0.03204918256249608,0.1098407657071866,0.6676142128842157,0.04146152499152969,0.6261526878926861,0.2574290449229799,0.027708072509706555,0.22972097241327336,0.6211526878926861
Mars+Neptune+Moon,3,Mars:0.762581;Neptune:0.644831;Moon:0.051611,0.2464501751228273,0.01512643585182449,0.2313237392710028,0.2636487818182172,0.024617374197865485,0.23903140762035174,0.24362766101046043,0.017206098070256578,0.22642156294020385,0.2323647409536851
Venus+Mars+Jupiter+Neptune,4,Venus:-0.533781;Mars:-0.511831;Jupiter:-0.671699;Neptune:-0.043907,0.2664277414113138,0.004584401662821614,0.2618433397484922,0.8812454720124577,0.014025747647615688,0.8672197243648421,0.23009854437362548,0.010075200739044398,0.2200233436345811,0.8622197243648421
Mercury+Saturn+Uranus+Pluto,4,Mercury:0.038706;Saturn:-0.295796;Uranus:-0.626155;Pluto:-0.720373,0.13905204535300625,0.03691877230210537,0.10213327305090088,0.6737174582675496,0.045802075429581646,0.627915382837968,0.24931474593502292,0.032487990368014835,0.2168267555670081,0.622915382837968
Venus+Uranus+Neptune+Pluto,4,Venus:0.662102;Uranus:0.664836;Neptune:0.147930;Pluto:0.312619,0.2581871594233251,0.010644209520169881,0.24754294990315523,0.8498943491312902,0.0017606723873911697,0.8481336767438991,0.22541144900209087,0.010543305374740198,0.21486814362735068,0.843133676743899
Venus+Mars+Jupiter+Saturn,4,Venus:-0.602988;Mars:-0.537538;Jupiter:-0.533325;Saturn:-0.251042,0.26105430903034704,0.010358018878062494,0.25069629015228456,0.9107841236028953,0.002404958783856747,0.9083791648190386,0.22833569219346941,0.01367615541971561,0.2146595367737538,0.9033791648190386
Venus+Mars+Jupiter+Uranus,4,Venus:-0.537004;Mars:-0.512020;Jupiter:-0.665548;Uranus:-0.080672,0.26238357960657444,0.00638976591786011,0.2559938136887143,0.8907255144727043,0.015476480266424893,0.8752490342062794,0.2232575497969788,0.011155062346414274,0.2121024874505645,0.8702490342062794
Venus+Mars+Jupiter,3,Venus:-0.504503;Mars:-0.521899;Jupiter:-0.687821,0.2593468355570004,0.0036705649931966953,0.2556762705638037,0.8750929449573206,0.01270997066615475,0.8623829742911658,0.21999706160418073,0.009646679868044825,0.2103503817361359,0.8557163076244991
Venus+Mars+Saturn+Moon,4,Venus:-0.782833;Mars:-0.411347;Saturn:-0.462903;Moon:-0.060712,0.25807827658550564,0.007068707819343924,0.2510095687661617,0.7980329928506131,0.014097686222767086,0.783935306627846,0.22367363521813324,0.013946578145559142,0.2097270570725741,0.778935306627846
Venus+Mars+Jupiter+Pluto,4,Venus:-0.503869;Mars:-0.516645;Jupiter:-0.692171;Pluto:-0.009669,0.2559868427008511,0.004222990604996719,0.2517638520958544,0.8758138278875355,0.013157207870207615,0.8626566200173279,0.21805378020871446,0.009944504285954014,0.20810927592276046,0.8576566200173279
Mars+Jupiter+Saturn+Moon,4,Mars:-0.623060;Jupiter:-0.650813;Saturn:-0.395502;Moon:-0.178373,0.11986836988246481,0.013114136023800876,0.10675423385866394,0.45310433613140044,0.013313923326694918,0.43979041280470554,0.22221772426470748,0.015968031382665872,0.20624969288204162,0.43479041280470554
Venus+Mars+Saturn+Neptune,4,Venus:0.726585;Mars:0.399389;Saturn:0.549930;Neptune:-0.100697,0.24621502445301538,0.005987095740161417,0.24022792871285395,0.8045465517105769,0.014224787257448735,0.7903217644531282,0.21791017242547644,0.012090663623309586,0.20581950880216687,0.7853217644531282
Venus+Mars+Saturn,3,Venus:-0.763056;Mars:-0.398168;Saturn:-0.509125,0.25286354273768796,0.005805966501086842,0.24705757623660113,0.7939147589564557,0.014138319059162874,0.7797764398972928,0.21760773188761978,0.011934948187559509,0.20567278370006029,0.7731097732306261
Mercury+Venus+Mars+Jupiter,4,Mercury:-0.071180;Venus:0.529053;Mars:0.506764;Jupiter:0.676924,0.25256601788963806,0.0032808803064106307,0.24928513758322743,0.8985737327652841,0.011844430650206744,0.8867293021150773,0.21210697662072597,0.00789460126930761,0.20421237535141837,0.8817293021150773
Mercury+Venus+Mars+Saturn,4,Mercury:-0.033519;Venus:0.798530;Mars:0.392456;Saturn:0.455196,0.24174863045351375,0.005574873598618463,0.23617375685489528,0.7929939116635382,0.011200802167884761,0.7817931094956534,0.21606149426875598,0.012539335244243145,0.20352215902451284,0.7767931094956534
Venus+Mars+Jupiter+Moon,4,Venus:-0.504785;Mars:-0.515056;Jupiter:-0.692349;Moon:0.023718,0.2519401871940809,0.0038694531832024173,0.24807073401087848,0.8795888182406171,0.012560688444490757,0.8670281297961263,0.2123116750806288,0.00985527393086645,0.20245640114976235,0.8620281297961263
Mars+Uranus+Neptune+Moon,4,Mars:-0.733681;Uranus:0.131794;Neptune:-0.665224;Moon:-0.042645,0.22925485625627243,0.01640180244834571,0.2128530538079267,0.2908492989234545,0.024928422580965982,0.2659208763424885,0.2204295637569502,0.018720709073161042,0.20170885468378916,0.2609208763424885
Venus+Mars+Saturn+Pluto,4,Venus:-0.674196;Mars:-0.391953;Saturn:-0.585236;Pluto:-0.222110,0.2309891514431706,0.0069056712643914275,0.22408348017877916,0.8279983081008712,0.015151393811522938,0.8128469142893482,0.20971865738892365,0.008428134946065475,0.20129052244285817,0.8078469142893482
Uranus+Neptune+Pluto,3,Uranus:-0.567313;Neptune:-0.306670;Pluto:-0.764270,0.13812492316547004,0.021916732902942916,0.11620819026252713,0.5466104263012885,0.014652575390697706,0.5319578509105908,0.22564940848565238,0.026524098981646333,0.19912530950400603,0.5252911842439241
Uranus+Neptune+Pluto+Moon,4,Uranus:0.577051;Neptune:0.300500;Pluto:0.758820;Moon:-0.030067,0.13754388252523633,0.02100906736182425,0.11653481516341208,0.5551402110399005,0.013716883824794726,0.5414233272151058,0.2233950390970459,0.025676662138144884,0.19771837695890102,0.5364233272151058
Mars+Jupiter+Saturn,3,Mars:-0.501848;Jupiter:-0.733261;Saturn:-0.458778,0.11152570898161679,0.012741904506247551,0.09878380447536923,0.44735818547559625,0.01357881775050666,0.43377936772508957,0.20918345331807064,0.015387912216216364,0.1937955411018543,0.4271127010584229
Mercury+Uranus+Neptune+Pluto,4,Mercury:-0.028738;Uranus:0.584320;Neptune:0.268579;Pluto:0.765251,0.13437448023910628,0.02040813990971669,0.1139663403293896,0.5466374171323248,0.014559052381294587,0.5320783647510302,0.21598706028200398,0.025059353067525488,0.1909277072144785,0.5270783647510302
Venus+Uranus+Pluto+Moon,4,Venus:-0.574263;Uranus:-0.733786;Pluto:-0.361632;Moon:-0.031666,0.262776820272892,0.010269037387897029,0.252507782884995,0.8486453896631231,0.0015997257134242185,0.8470456639496988,0.19744481415579984,0.009243970764000617,0.1882008433917992,0.8420456639496988
Mercury+Mars,2,Mercury:-0.677301;Mars:-0.735706,0.21243780823561342,0.014958653303999135,0.19747915493161428,0.31104150114111806,0.02278178747753145,0.2882597136635866,0.2016651491421086,0.017141699449342934,0.18452344969276566,0.2782597136635866
Venus+Jupiter+Uranus+Pluto,4,Venus:0.413397;Jupiter:0.452006;Uranus:0.567916;Pluto:0.549786,0.13872714146257561,0.02234578142088078,0.11638136004169483,0.8819388892371502,0.01463226110778181,0.8673066281293684,0.21218706524138098,0.02967404486438345,0.18251302037699751,0.8623066281293684
Venus+Uranus+Pluto,3,Venus:-0.597878;Uranus:-0.727542;Pluto:-0.336489,0.25468212586546785,0.010048857774365464,0.2446332680911024,0.8404524736038274,0.0022986853299232727,0.8381537882739041,0.18734640660514393,0.00808760589611291,0.17925880070903102,0.8314871216072374
Venus+Mars+Uranus+Pluto,4,Venus:-0.598367;Mars:-0.002162;Uranus:-0.728034;Pluto:-0.334543,0.25474947966451195,0.010076185567067832,0.24467329409744412,0.8405075341189568,0.002330019230565114,0.8381775148883918,0.18661394468131343,0.008067103759912948,0.17854684092140047,0.8331775148883918
Venus+Saturn+Uranus+Neptune,4,Venus:-0.509595;Saturn:0.543172;Uranus:-0.304200;Neptune:-0.593919,0.2651803242307786,0.008850245971948173,0.2563300782588304,0.738014972594151,0.015282074072222216,0.7227328985219288,0.1866419583389364,0.011931072937982743,0.17471088540095367,0.7177328985219288
Mercury+Venus+Uranus+Moon,4,Mercury:0.189862;Venus:-0.768650;Uranus:-0.583805;Moon:-0.179727,0.23838662231550065,0.009999428526914756,0.22838719378858588,0.6878917526041471,0.0034954855834202466,0.6843962670207269,0.17848816340661658,0.00584344888884554,0.17264471451777103,0.6793962670207269
Mercury+Mars+Jupiter+Saturn,4,Mercury:0.344565;Mars:0.629866;Jupiter:0.587454;Saturn:0.373419,0.07116837931880333,0.008242948379788059,0.06292543093901527,0.4615374686890102,0.014706163815849481,0.4468313048731607,0.17680693134864267,0.004649309881042958,0.17215762146759972,0.4418313048731607
Venus+Neptune+Pluto,3,Venus:0.689730;Neptune:0.485572;Pluto:0.537115,0.22991474165097156,0.00915477030464885,0.22075997134632272,0.7100554792523027,0.016251621120006974,0.6938038581322957,0.182566936580994,0.011768169174792446,0.17079876740620153,0.687137191465629
Mercury+Venus+Uranus+Pluto,4,Mercury:-0.029256;Venus:0.617999;Uranus:0.718637;Pluto:0.317461,0.2433275596320766,0.012927039186813713,0.2304005204452629,0.845583540088282,0.005697480569690879,0.8398860595185911,0.17911029039323173,0.009795597994400577,0.16931469239883115,0.8348860595185911
Mars+Saturn+Pluto,3,Mars:0.575684;Saturn:0.768765;Pluto:0.278546,0.06939950348218134,0.0035080220787390105,0.06589148140344232,0.45366731634121094,0.004505602842862953,0.449161713498348,0.17600737350948853,0.0073020799912453796,0.16870529351824315,0.44249504683168134
Venus+Saturn+Uranus+Moon,4,Venus:-0.786683;Saturn:-0.365058;Uranus:-0.497574;Moon:-0.016813,0.1608473990675321,0.009302309322759536,0.15154508974477254,0.6723336978675287,0.016319233550678488,0.6560144643168503,0.1770051131273817,0.009188128571002667,0.16781698455637903,0.6510144643168503
Venus+Saturn+Uranus,3,Venus:-0.783295;Saturn:-0.381657;Uranus:-0.490701,0.15770949582424493,0.009715585760119841,0.1479939100641251,0.6723351232502482,0.016705241163454104,0.6556298820867942,0.1767157196458066,0.009397636244170348,0.16731808340163626,0.6489632154201275
Mercury+Venus+Saturn+Uranus,4,Mercury:-0.094364;Venus:0.783264;Saturn:0.315174;Uranus:0.527502,0.17551107001307278,0.007462629908673311,0.16804844010439948,0.6929557520902929,0.014315505682310875,0.678640246407982,0.17159312933156562,0.009691541627170964,0.16190158770439467,0.673640246407982
Venus+Mars+Saturn+Uranus,4,Venus:0.678208;Mars:0.445993;Saturn:0.549024;Uranus:-0.199242,0.2202360643650465,0.003754030867034666,0.21648203349801184,0.7975265306969255,0.010548775011113102,0.7869777556858124,0.16846265638517244,0.007928959848221355,0.16053369653695107,0.7819777556858124
Venus+Neptune+Pluto+Moon,4,Venus:0.680758;Neptune:0.490117;Pluto:0.542118;Moon:-0.049617,0.22094179017812401,0.0077420951973075245,0.21319969498081648,0.709071828392346,0.014094482162656916,0.694977346229689,0.16725218490302501,0.010098208946396325,0.1571539759566287,0.689977346229689
Mars+Jupiter+Uranus,3,Mars:0.652911;Jupiter:0.734312;Uranus:0.185722,0.0728362773524994,0.022468065576048326,0.050368211776451066,0.545162569470671,0.028151860890025873,0.5170107085806451,0.17052460020999438,0.017450408280463882,0.1530741919295305,0.5103440419139784
Neptune+Pluto,2,Neptune:-0.339164;Pluto:-0.940727,0.1266463026614568,0.01553561221246891,0.11111069044898789,0.20885221309645202,0.019472697298573635,0.18937951579787837,0.1667529564885886,0.016447565403625596,0.150305391084963,0.17937951579787836
Venus+Mars+Uranus+Moon,4,Venus:-0.849958;Mars:-0.305252;Uranus:-0.414564;Moon:-0.111933,0.24000368943049405,0.009336841984366847,0.2306668474461272,0.7251440658894923,0.013478181336129793,0.7116658845533625,0.15861437238470047,0.010289131991435985,0.14832524039326447,0.7066658845533625
Venus+Saturn+Neptune+Moon,4,Venus:0.216840;Saturn:-0.694507;Neptune:0.683104;Moon:0.063319,0.22306732019439937,0.013818601052005894,0.20924871914239349,0.7221475913741697,0.01919191512846686,0.7029556762457029,0.16731293855402699,0.019711218727621868,0.14760171982640513,0.6979556762457029
Mercury+Venus+Uranus+Neptune,4,Mercury:0.151595;Venus:-0.831486;Uranus:-0.381057;Neptune:-0.374762,0.2143592993412553,0.007035414656383483,0.2073238846848718,0.7066012703670029,0.0006943591923530869,0.7059069111746499,0.15247737291531238,0.006024898289969488,0.1464524746253429,0.7009069111746499
Venus+Mars+Uranus,3,Venus:0.864481;Mars:0.315364;Uranus:0.391432,0.23356869123030846,0.008622644091076546,0.2249460471392319,0.7127439798701194,0.013215444217676888,0.6995285356524426,0.15522790862574629,0.01018295956675955,0.14504494905898674,0.6928618689857758
Venus+Mars,2,Venus:-0.905930;Mars:-0.423428,0.21632633997281459,0.0035218957965352272,0.21280444417627936,0.6614563940740126,0.008303762136832395,0.6531526319371802,0.14910640119294663,0.005634880051151798,0.14347152114179484,0.6431526319371802
Venus+Uranus+Neptune,3,Venus:0.891469;Uranus:0.351450;Neptune:0.285948,0.2007713801947473,0.006196707861036858,0.19457467233371045,0.6486026367101605,0.012068231006084411,0.636534405704076,0.15452360011057584,0.011221610336635173,0.14330198977394065,0.6298677390374093
Venus+Uranus+Neptune+Moon,4,Venus:0.826095;Uranus:0.501864;Neptune:0.199307;Moon:0.161172,0.20284547241594109,0.0047366149577416005,0.19810885745819948,0.6588853144985731,0.009990403012993922,0.6488949114855792,0.1492152810137398,0.006379832033996539,0.14283544897974326,0.6438949114855792
Venus+Uranus,2,Venus:-0.930521;Uranus:-0.366239,0.19497121100741818,0.008901358955545474,0.1860698520518727,0.6353488069340774,0.014965383954138068,0.6203834229799393,0.1542208206575406,0.01159327100866805,0.14262754964887256,0.6103834229799393
Venus+Uranus+Moon,3,Venus:0.903224;Uranus:0.417658;Moon:0.098734,0.19821444327198479,0.008127172356842197,0.1900872709151426,0.6371904831736505,0.014061494549272817,0.6231289886243776,0.15306399307966065,0.010497517182371482,0.14256647589728916,0.6164623219577109
Venus+Mars+Moon,3,Venus:-0.901133;Mars:-0.424683;Moon:-0.087196,0.21361239123473666,0.004864198937224947,0.2087481922975117,0.6630691062063203,0.00738862016216345,0.6556804860441569,0.14607885257777833,0.003573670218349636,0.1425051823594287,0.6490138193774901
Mercury+Venus+Uranus,3,Mercury:-0.252165;Venus:0.875738;Uranus:0.411699,0.2119489559762844,0.010757631799892132,0.20119132417639227,0.6567130391941041,0.004271091000342139,0.6524419481937619,0.1484375414223058,0.007434944542380168,0.14100259687992564,0.6457752815270952
Venus+Mars+Neptune+Pluto,4,Venus:-0.828720;Mars:-0.366897;Neptune:-0.420246;Pluto:-0.044748,0.22473586121473665,0.013814298771462586,0.21092156244327406,0.7705212068158112,0.019443057937145906,0.7510781488786652,0.15648278251088513,0.01594897619030819,0.14053380632057694,0.7460781488786652
Mercury+Venus+Neptune+Pluto,4,Mercury:-0.050022;Venus:-0.664360;Neptune:-0.510827;Pluto:-0.543304,0.20638296517464097,0.008189770443248595,0.19819319473139238,0.710581023605739,0.014195600459460259,0.6963854231462788,0.15309479989681804,0.012745532430469856,0.14034926746634818,0.6913854231462788
Venus+Saturn+Neptune,3,Venus:0.184574;Saturn:-0.701192;Neptune:0.688666,0.21622282348057706,0.01708254599291114,0.1991402774876659,0.7175485689278065,0.02211167826522868,0.6954368906625779,0.16282276083875907,0.022776451999355428,0.14004630883940364,0.6887702239959111
Mercury+Venus+Mars+Neptune,4,Mercury:-0.045701;Venus:0.842839;Mars:0.370397;Neptune:0.387738,0.2196129617935455,0.010840944211531176,0.20877201758201433,0.7676463785230282,0.015657129816305636,0.7519892487067226,0.1495307883253895,0.0114866034872838,0.13804418483810568,0.7469892487067226
Venus+Jupiter+Saturn+Pluto,4,Venus:0.643564;Jupiter:-0.388232;Saturn:0.572230;Pluto:0.328108,0.20513465237788267,0.013709963614736883,0.19142468876314578,0.7513978242833212,0.01960882839366127,0.73178899588966,0.1550237123107277,0.01724201286885757,0.13778169944187013,0.72678899588966
Mercury+Venus+Mars+Uranus,4,Mercury:0.178400;Venus:-0.870308;Mars:-0.235892;Uranus:-0.393818,0.2262758578072637,0.008873716273055773,0.21740214153420792,0.741445088799429,0.003925550978340676,0.7375195378210884,0.1389605779564245,0.003156034967174801,0.13580454298924968,0.7325195378210884
Venus+Mars+Pluto,3,Venus:0.895545;Mars:0.434967;Pluto:-0.093826,0.21286205642236825,0.00505423165975494,0.2078078247626133,0.6649353053400531,0.008680817338555377,0.6562544880014977,0.14074964765886208,0.0057733910087007494,0.13497625665016133,0.649587821334831
Venus+Mars+Neptune,3,Venus:0.839492;Mars:0.363966;Neptune:0.403462,0.22016570261852994,0.01260578021547925,0.20755992240305068,0.7678679395263409,0.01752076297626008,0.7503471765500809,0.14856843448857562,0.01368969117853527,0.13487874331004035,0.7436805098834142
Venus+Mars+Pluto+Moon,4,Venus:0.891393;Mars:0.435397;Pluto:-0.094945;Moon:0.082659,0.21156328336872487,0.006476559282067003,0.20508672408665787,0.6673033115321825,0.008268387508258777,0.6590349240239237,0.13900189734122284,0.004475550369717225,0.13452634697150562,0.6540349240239237
Jupiter+Uranus+Pluto+Moon,4,Jupiter:-0.303419;Uranus:-0.595744;Pluto:-0.742784;Moon:0.036029,0.09800345964125569,0.01976823603389208,0.07823522360736361,0.6529192610901631,0.02152513700381839,0.6313941240863447,0.15721387699458134,0.023238234140654634,0.1339756428539267,0.6263941240863447
Jupiter+Uranus+Pluto,3,Jupiter:0.311469;Uranus:0.586577;Pluto:0.747605,0.10009615696459126,0.019409994097586734,0.08068616286700453,0.6257744513344354,0.0213654341932297,0.6044090171412058,0.15439350896654133,0.02272292507164713,0.1316705838948942,0.597742350474539
Venus+Mars+Uranus+Neptune,4,Venus:-0.869846;Mars:-0.296894;Uranus:-0.186473;Neptune:-0.347058,0.22465875280498152,0.00823239968267515,0.21642635312230638,0.7736838246255897,0.013409574850948592,0.7602742497746411,0.14257363025225436,0.011414963495650922,0.13115866675660345,0.7552742497746411
Mars+Saturn+Uranus,3,Mars:0.274547;Saturn:-0.738052;Uranus:0.616363,0.13823094799168062,0.018019734133706247,0.12021121385797437,0.4597979273776913,0.019891718495516506,0.4399062088821748,0.151929906226535,0.02165103282582319,0.1302788734007118,0.43323954221550814
Mercury+Venus+Saturn+Neptune,4,Mercury:0.020427;Venus:-0.176624;Saturn:0.721107;Neptune:-0.669620,0.20732356120039686,0.015668180375629757,0.1916553808247671,0.7158075922686441,0.02014949217721397,0.6956581000914301,0.15020075446664968,0.021486010754596885,0.1287147437120528,0.6906581000914301
Venus+Neptune,2,Venus:0.973064;Neptune:0.230535,0.18502537888596207,0.005609417488590843,0.17941596139737123,0.6387556918684378,0.011148741027861803,0.627606950840576,0.13793967692007972,0.009499259506016305,0.12844041741406342,0.617606950840576
Neptune+Pluto+Moon,3,Neptune:0.437952;Pluto:0.752511;Moon:0.491859,0.11664399798909121,0.013203708552172146,0.10344028943691906,0.22361692515022763,0.014094705552316138,0.20952221959791148,0.14239867190205277,0.015021779470435037,0.12737689243161773,0.20285555293124483
Venus+Neptune+Moon,3,Venus:-0.969464;Neptune:-0.233326;Moon:-0.075485,0.18237676358154778,0.004763825194470993,0.17761293838707679,0.6389710698535268,0.010253634154607014,0.6287174356989198,0.1357812045585815,0.008588750838342563,0.12719245372023893,0.6220507690322531
Pluto+Moon,2,Pluto:-0.964873;Moon:-0.262718,0.13532227889295076,0.026570910596411198,0.10875136829653956,0.18610083702870678,0.029151859146927965,0.1569489778817788,0.1538017106608213,0.027867996121646758,0.12593371453917454,0.1469489778817788
Mars+Saturn+Pluto+Moon,4,Mars:0.519444;Saturn:-0.698663;Pluto:-0.421386;Moon:0.253933,0.128177515340515,0.005464418102299727,0.12271309723821527,0.43420016303343556,0.005579693425314127,0.42862046960812145,0.13430036585818694,0.009071122494019566,0.12522924336416738,0.42362046960812144
Venus+Jupiter+Saturn+Neptune,4,Venus:0.664741;Jupiter:-0.460849;Saturn:0.586637;Neptune:-0.039929,0.20946978119929088,0.013306334511998186,0.1961634466872927,0.734449018020721,0.018655125709667902,0.7157938923110532,0.14203815122054259,0.017939668016400616,0.12409848320414196,0.7107938923110532
Mars+Pluto+Moon,3,Mars:0.641079;Pluto:0.767444;Moon:-0.006887,0.13986799334580083,0.010559774920370937,0.1293082184254299,0.2743814816338977,0.015373429016892318,0.2590080526170054,0.13419754910615955,0.012523673973048474,0.12167387513311108,0.2523413859503387
Mars+Pluto,2,Mars:-0.642110;Pluto:-0.766613,0.13953972559487987,0.010411289343606432,0.12912843625127343,0.27420002266410354,0.015271248899324241,0.2589287737647793,0.1336913993155977,0.012333791916784919,0.12135760739881278,0.2489287737647793
Venus+Jupiter+Neptune+Pluto,4,Venus:0.704756;Jupiter:-0.413521;Neptune:0.536055;Pluto:0.212047,0.2041278378709488,0.007399047527723843,0.19672879034322494,0.7252918876660889,0.0063866860136725,0.7189052016524163,0.12289102336584429,0.0015569281061691362,0.12133409525967515,0.7139052016524163
Mercury+Jupiter+Neptune,3,Mercury:-0.222603;Jupiter:0.744032;Neptune:-0.629972,0.1789538566330604,0.021546949616063342,0.15740690701699706,0.48705727558238454,0.02487935365098509,0.46217792193139945,0.14043929280664433,0.02086658417165525,0.11957270863498907,0.4555112552647328
Mercury+Jupiter+Neptune+Moon,4,Mercury:0.201376;Jupiter:-0.752518;Neptune:0.626832;Moon:0.015696,0.17847823146807604,0.021736544133449495,0.15674168733462654,0.4868883412579494,0.024599604735131255,0.46228873652281816,0.13982858793641548,0.020570288506762246,0.11925829942965323,0.45728873652281815
Mercury+Neptune+Moon,3,Mercury:-0.843378;Neptune:-0.425373;Moon:0.328286,0.16053892030514189,0.029222524815328235,0.13131639548981366,0.31764654896646854,0.032909759266616496,0.28473678969985206,0.14736150451820146,0.028896306277874272,0.11846519824032718,0.2780701230331854
