signal,raw_high_R_plv,raw_background_plv,raw_delta,raw_p,residual_high_R_plv,residual_background_plv,residual_delta,residual_p,best_residual_lag_days,best_residual_lag_plv,raw_fdr_q,residual_fdr_q
combo_Neptune_Pluto_Moon,0.06727634482712028,0.015415780724292777,0.0518605641028275,0.7574141952682439,0.10194555357647565,0.011393611895298047,0.09055194168117761,0.4028657114295235,32,0.1566065960605307,0.9262952235294788,0.9866711096301233
combo_Mercury_Saturn_Pluto,0.09168510224047456,0.03351794118326916,0.0581671610572054,0.5964678440519827,0.10185792884887393,0.03601294466201458,0.06584498418685936,0.6164611796067977,174,0.30735897591951483,0.9262952235294788,0.9866711096301233
combo_Venus_Jupiter_Neptune,0.25482520619757043,0.059298953760956744,0.1955262524366137,0.1166277907364212,0.10154346004357447,0.010780163293123318,0.09076329675045115,0.6421192935688104,87,0.17893824346657403,0.8945510226749812,0.9866711096301233
combo_Mars_Neptune_Moon,0.20274537183262042,0.0050124601632733,0.19773291166934712,0.39653448850383205,0.1012817925949163,0.0020934229105568063,0.0991883696843595,0.5124958347217594,7,0.1049043992571323,0.921438467879128,0.9866711096301233
combo_Saturn_Uranus_Neptune,0.2332661249310094,0.021983930672120983,0.21128219425888842,0.12295901366211263,0.09989297055578883,0.020830292026924407,0.07906267852886442,0.5514828390536488,124,0.21254438297975312,0.8945510226749812,0.9866711096301233
combo_Pluto_Moon,0.07524759804993288,0.020224316288680193,0.05502328176125268,0.5994668443852049,0.09951337378230372,0.01763864453926142,0.0818747292430423,0.35888037320893035,57,0.20754276975441005,0.9262952235294788,0.9866711096301233
combo_Mercury_Saturn,0.12008155942375794,0.02386542495743714,0.0962161344663208,0.4675108297234255,0.09726446325318674,0.020840892667972625,0.07642357058521412,0.5621459513495501,175,0.2511027549743546,0.921438467879128,0.9866711096301233
combo_Mars_Jupiter_Uranus,0.03845760164331488,0.07244375004327454,-0.033986148399959656,0.9790069976674441,0.09456594609413874,0.015375766057367157,0.07919018003677158,0.7410863045651449,109,0.1725763129304475,0.9790069976674441,0.9866711096301233
combo_Mercury_Mars_Saturn,0.10518659304926781,0.015211991001414564,0.08997460204785324,0.8757080973008997,0.09421774780592088,0.013486579815454085,0.08073116799046678,0.8453848717094302,171,0.3043616930058333,0.9380858009736103,0.9866711096301233
combo_Venus_Saturn_Moon,0.12273162598606885,0.0016163292243805505,0.12111529676168829,0.29890036654448515,0.09416356985081713,0.002164834689775866,0.09199873516104126,0.4855048317227591,30,0.13598981173707061,0.8945741490425179,0.9866711096301233
combo_Mercury_Jupiter_Pluto,0.24436082913435395,0.047828353301691225,0.19653247583266273,0.06997667444185271,0.09348124299454129,0.06658480044707507,0.026896442547466218,0.6581139620126625,63,0.30001976035229627,0.8945510226749812,0.9866711096301233
combo_Mercury_Uranus_Moon,0.09751853773467888,0.017951297508078855,0.07956724022660003,0.5111629456847717,0.09319731566534364,0.017585479837058708,0.07561183582828493,0.3668777074308564,174,0.1723910048122575,0.921438467879128,0.9866711096301233
combo_Venus_Jupiter_Pluto,0.17310601667486375,0.07099337523724429,0.10211264143761946,0.32855714761746085,0.0930154351539552,0.03222753967940834,0.06078789547454686,0.7554148617127624,62,0.26589931714256365,0.9057247584138621,0.9866711096301233
combo_Mars_Neptune_Pluto,0.19620092808363193,0.029464259773587517,0.1667366683100444,0.6094635121626124,0.09220026759769952,0.009642667532259376,0.08255760006544013,0.7094301899366877,49,0.22369983645245717,0.9262952235294788,0.9866711096301233
combo_Saturn_Neptune_Pluto,0.180871166659394,0.010297198843033758,0.17057396781636025,0.3558813728757081,0.09068067742742689,0.02315135273520346,0.06752932469222342,0.7120959680106631,37,0.21746383583931364,0.921438467879128,0.9866711096301233
combo_Uranus_Pluto_Moon,0.1308706523108008,0.02306469764550749,0.10780595466529332,0.28857047650783074,0.08964550227328807,0.01081702983822458,0.0788284724350635,0.4218593802065978,33,0.1432351681819525,0.8945741490425179,0.9866711096301233
Mars,0.37795184918870506,0.004495437336350749,0.3734564118523543,0.3042319226924359,0.08860027736758169,0.009561102525502276,0.07903917484207942,0.931022992335888,232,0.12559285682811794,0.8945741490425179,0.9866711096301233
combo_Venus_Uranus_Neptune,0.034576685323244934,0.010654029794492639,0.023922655528752293,0.9580139953348884,0.08853080876104072,0.004980378534157449,0.08355043022688327,0.6047984005331556,29,0.18314784558398778,0.9722067952657757,0.9866711096301233
combo_Uranus_Neptune_Pluto,0.17321890836255782,0.014307160897543292,0.15891174746501452,0.4685104965011663,0.08622765093977854,0.018506724144144348,0.06772092679563418,0.71242919026991,52,0.23074705384820163,0.921438467879128,0.9866711096301233
combo_Venus_Moon,0.13193772180588365,0.002225217224227381,0.12971250458165626,0.1409530156614462,0.0857510134377461,0.002462123109372046,0.08328889032837405,0.7810729756747751,81,0.16793446517547733,0.8945510226749812,0.9866711096301233
venus_jupiter,0.25245134370957467,0.1161872958857891,0.13626404782378557,0.13295568143952016,0.0857190438623302,0.013800515922078956,0.07191852794025125,0.8180606464511829,91,0.226803547258881,0.8945510226749812,0.9866711096301233
combo_Venus_Jupiter,0.25245134370957467,0.1161872958857891,0.13626404782378557,0.11596134621792736,0.0857190438623302,0.013800515922078956,0.07191852794025125,0.8040653115628124,91,0.226803547258881,0.8945510226749812,0.9866711096301233
combo_Jupiter_Saturn_Neptune,0.27853676537339567,0.04861601725534696,0.2299207481180487,0.04165278240586471,0.08273376043751185,0.008638100662272127,0.07409565977523973,0.6917694101966011,81,0.22727927539827464,0.8945510226749812,0.9866711096301233
combo_Mercury_Jupiter_Neptune,0.13137400968875176,0.0734620185439155,0.057911991144836264,0.542485838053982,0.08170465995202596,0.01307718711211707,0.06862747283990889,0.659780073308897,76,0.2211491090502385,0.9254281494645816,0.9866711096301233
combo_Mercury_Saturn_Moon,0.08305451761218545,0.02579220706545165,0.0572623105467338,0.5614795068310563,0.08099541283887889,0.016468274783799593,0.06452713805507929,0.5298233922025991,175,0.2506749913715015,0.9262952235294788,0.9866711096301233
combo_Venus_Jupiter_Uranus,0.2930909907989866,0.05393548577692928,0.23915550502205732,0.0469843385538154,0.0803744934893856,0.00924175459479904,0.07113273889458657,0.7737420859713429,156,0.1725054269671816,0.8945510226749812,0.9866711096301233
combo_Mercury_Jupiter_Uranus,0.1666809857204588,0.0717136709131893,0.09496731480726951,0.46984338553815397,0.07946446846601103,0.01857733905018178,0.06088712941582925,0.6847717427524158,62,0.19751176391394348,0.921438467879128,0.9866711096301233
combo_Venus_Jupiter_Moon,0.2603959115832987,0.06693649691439368,0.19345941466890504,0.012662445851382872,0.07814397714695873,0.007161570334958848,0.07098240681199988,0.7717427524158614,90,0.20083170034332806,0.8945510226749812,0.9866711096301233
combo_Jupiter_Neptune_Pluto,0.2291482591178768,0.03710314470992195,0.19204511440795485,0.27424191936021325,0.07807830034877945,0.009934997644794996,0.06814330270398446,0.7827390869710097,53,0.23310730796664897,0.8945510226749812,0.9866711096301233
combo_Mercury_Pluto_Moon,0.13269611413049434,0.03993243484969006,0.09276367928080428,0.13828723758747083,0.07410551114596114,0.03254071738386654,0.041564793762094605,0.6164611796067977,54,0.24676342978281054,0.8945510226749812,0.9866711096301233
combo_Saturn_Pluto_Moon,0.06586886981978766,0.012315556644689312,0.05355331317509835,0.7650783072309231,0.0727318253473635,0.012626289141964037,0.06010553620539946,0.7300899700099966,174,0.17517437488738843,0.9262952235294788,0.9866711096301233
Neptune,0.1362224214999942,0.004423875294696485,0.1317985462052977,0.5041652782405864,0.07245022284667813,0.005031153716338658,0.06741906913033947,0.7107630789736754,113,0.1706489281532507,0.921438467879128,0.9866711096301233
combo_Jupiter_Uranus_Neptune,0.18410954650310643,0.053669146774316334,0.1304403997287901,0.3665444851716095,0.07020452553213205,0.008526570055845747,0.0616779554762863,0.7474175274908363,99,0.22644494063690412,0.921438467879128,0.9866711096301233
combo_Mercury_Mars_Jupiter,0.056218393151105855,0.045405277541744525,0.01081311560936133,0.931356214595135,0.06880148708054243,0.02262228473399061,0.04617920234655182,0.9233588803732089,175,0.2552155413978286,0.9522074731308469,0.9866711096301233
combo_Mercury_Mars_Moon,0.18287855524087182,0.017796820734050228,0.1650817345068216,0.5454848383872043,0.06795790890129377,0.015275105458616378,0.052682803442677395,0.9253582139286904,172,0.153857516827859,0.9254281494645816,0.9866711096301233
combo_Saturn_Neptune_Moon,0.12658963864091538,0.0027900453091385933,0.12379959333177679,0.34755081639453517,0.06661823526667784,0.002564013318547104,0.06405422194813074,0.6824391869376875,99,0.15719724301722568,0.921438467879128,0.9866711096301233
combo_Neptune_Moon,0.07136320949017047,0.0033003871589332946,0.06806282233123717,0.6571142952349217,0.06445146769484492,0.0020361308690297905,0.062415336825815126,0.5121626124625125,122,0.1271076111827469,0.9262952235294788,0.9866711096301233
jupiter_neptune,0.10958343961627143,0.08478743503151998,0.024796004584751452,0.7397534155281573,0.06373511359094522,0.006918425039843755,0.05681668855110147,0.7904031989336888,111,0.2865314260663593,0.9262952235294788,0.9866711096301233
combo_Jupiter_Neptune,0.10958343961627143,0.08478743503151998,0.024796004584751452,0.7297567477507497,0.06373511359094522,0.006918425039843755,0.05681668855110147,0.785404865044985,111,0.2865314260663593,0.9262952235294788,0.9866711096301233
combo_Uranus_Neptune,0.14136194818399905,0.002129617363323474,0.13923233082067557,0.5194935021659447,0.06319556888251171,0.002414291088847658,0.06078127779366405,0.8367210929690103,129,0.17058318895184152,0.9242936337238237,0.9866711096301233
combo_Saturn_Neptune,0.21044548704535523,0.020924303114524295,0.18952118393083095,0.15594801732755748,0.06219954035724298,0.012045025418582683,0.0501545149386603,0.7990669776741086,240,0.239045783856185,0.8945510226749812,0.9866711096301233
combo_Mars_Uranus_Moon,0.13155113539450408,0.005574204085196584,0.1259769313093075,0.7807397534155281,0.06044135683957166,0.007535671537144477,0.05290568530242718,0.8387204265244919,46,0.10805827629451746,0.9262952235294788,0.9866711096301233
combo_Mercury_Moon,0.0791303942468227,0.021044152839242273,0.058086241407580425,0.5344885038320559,0.058534359364528485,0.019974940731319252,0.03855941863320923,0.7590803065644786,173,0.19320294270383095,0.9254281494645816,0.9866711096301233
combo_Jupiter_Saturn,0.16159509576175032,0.10282505935677734,0.05877003640497298,0.4145284905031656,0.057785085559359003,0.007671813001971144,0.05011327255738786,0.8387204265244919,207,0.2053987434553943,0.921438467879128,0.9866711096301233
combo_Mercury_Jupiter_Saturn,0.1191677422900729,0.054730151070449665,0.06443759121962324,0.6311229590136621,0.05710121094126043,0.018165455792402686,0.03893575514885775,0.8243918693768744,81,0.17992416370608852,0.9262952235294788,0.9866711096301233
combo_Mars_Jupiter_Neptune,0.11220251159288042,0.07011103682102654,0.042091474771853876,0.862379206931023,0.05415684142167828,0.013213505079271291,0.04094333634240699,0.8893702099300234,49,0.17112731739534878,0.9380858009736103,0.9866711096301233
combo_Mercury_Uranus_Neptune,0.09081620276553967,0.016866364743786767,0.07394983802175291,0.7404198600466512,0.052458199082567596,0.014661780399490254,0.03779641868307734,0.8567144285238254,86,0.17378896082076725,0.9262952235294788,0.9866711096301233
combo_Mars_Moon,0.2340602138590986,0.000836386286934007,0.2332238275721646,0.38153948683772076,0.05224512082986092,0.0033028613554091945,0.04894225947445173,0.9316894368543819,140,0.0911049994705304,0.921438467879128,0.9866711096301233
combo_Jupiter_Pluto_Moon,0.18278551113440267,0.04983358627436137,0.1329519248600413,0.13262245918027324,0.05165837521338838,0.029519737270338593,0.02213863794304979,0.785071642785738,55,0.19439976586687868,0.8945510226749812,0.9866711096301233
combo_Jupiter_Saturn_Uranus,0.21389215695566943,0.0677888976093436,0.14610325934632584,0.20293235588137287,0.0494468352265022,0.015379383090297589,0.034067452136204615,0.8710429856714429,107,0.3170121671918497,0.8945510226749812,0.9866711096301233
combo_Mars_Saturn_Moon,0.1695970993336262,0.0026475045291113755,0.16694959480451482,0.5921359546817727,0.04804639425719205,0.007610087371206804,0.04043630688598525,0.8837054315228258,173,0.15078839318380297,0.9262952235294788,0.9866711096301233
combo_Venus_Saturn_Uranus,0.1906103939620364,0.014302433822992277,0.17630796013904412,0.21992669110296567,0.047283290826659365,0.0034732195416729444,0.04381007128498642,0.8833722092635788,194,0.14592364297112356,0.8945510226749812,0.9866711096301233
combo_Mercury_Jupiter_Moon,0.1717215229215583,0.058678961247684396,0.11304256167387389,0.22725758080639788,0.047215841268768356,0.023015305440206028,0.02420053582856233,0.8727090969676774,62,0.17969297413242588,0.8945510226749812,0.9866711096301233
combo_Jupiter_Uranus_Pluto,0.2025008091708533,0.05241435429129387,0.15008645487955943,0.4148617127624125,0.04082467431667938,0.023401588209118578,0.017423086107560805,0.9496834388537154,54,0.25329952402844347,0.921438467879128,0.9866711096301233
Uranus,0.13391837299082768,0.008242457160747299,0.12567591583008036,0.5584805064978341,0.03989239098117618,0.008623432306877503,0.03126895867429868,0.9173608797067644,142,0.17425038741999374,0.9262952235294788,0.9866711096301233
combo_Uranus_Neptune_Moon,0.10208531140306593,0.006505834130320589,0.09557947727274534,0.6271242919026991,0.034563686075812464,0.0028481576167609375,0.031715528459051526,0.9286904365211596,120,0.17828370144154057,0.9262952235294788,0.9866711096301233
combo_Jupiter_Saturn_Moon,0.16106388130921842,0.06634650803020875,0.09471737327900967,0.24191936021326224,0.03332823357381279,0.011906154530827955,0.021422079042984835,0.9123625458180606,96,0.18912933347783556,0.8945510226749812,0.9866711096301233
Saturn,0.143535538486592,0.004699955972129869,0.13883558251446212,0.5088303898700434,0.032521662531969885,0.0023377733701652674,0.030183889161804617,0.9340219926691103,229,0.21742175750162238,0.921438467879128,0.9866711096301233
combo_Jupiter_Neptune_Moon,0.1265081685136672,0.07007416205592974,0.056434006457737454,0.49050316561146284,0.029704540775902236,0.0074647672011076,0.022239773574794636,0.9220259913362212,120,0.21383225819852586,0.921438467879128,0.9866711096301233
combo_Jupiter_Uranus,0.2183928615431413,0.0987555863789032,0.1196372751642381,0.2585804731756081,0.027611126604675996,0.011128293242246535,0.016482833362429464,0.967677440853049,124,0.19601017375976718,0.8945510226749812,0.9866711096301233
Jupiter,0.24319118022147798,0.13349300132919972,0.10969817889227826,0.20626457847384205,0.026376568136463326,0.020342714381469684,0.006033853754993643,0.9510163278907031,104,0.2206503979226005,0.8945510226749812,0.9866711096301233
combo_Mars_Jupiter_Moon,0.07881668202937905,0.06967554149958444,0.009141140529794617,0.910696434521826,0.021661642342725426,0.01079026229529962,0.010871380047425806,0.9750083305564812,68,0.13913234648586933,0.9380858009736103,0.9866711096301233
combo_Saturn_Uranus_Moon,0.1290537118653305,0.009429674356066496,0.119624037509264,0.3762079306897701,0.01656528957095642,0.005906005062482606,0.010659284508473817,0.9750083305564812,234,0.1964592429440254,0.921438467879128,0.9866711096301233
combo_Saturn_Moon,0.0732094695297511,0.004315252921417902,0.0688942166083332,0.7317560813062313,0.01651108625659264,0.0021188995293543113,0.01439218672723833,0.9606797734088637,238,0.16955400281281763,0.9262952235294788,0.9866711096301233
combo_Jupiter_Uranus_Moon,0.1994032305806956,0.07525031154337918,0.12415291903731641,0.1616127957347551,0.015441564776034908,0.009833089660959759,0.005608475115075149,0.9820059980006665,154,0.2081725528303794,0.8945510226749812,0.9866711096301233
jupiter_moon,0.19490328364151976,0.08560007717842547,0.1093032064630943,0.05064978340553149,0.015105727052528696,0.01288948497031927,0.0022162420822094252,0.9703432189270244,97,0.16215453787963355,0.8945510226749812,0.9866711096301233
combo_Jupiter_Moon,0.19490328364151976,0.08560007717842547,0.1093032064630943,0.056981006331222925,0.015105727052528696,0.01288948497031927,0.0022162420822094252,0.9706764411862713,97,0.16215453787963355,0.8945510226749812,0.9866711096301233
Moon,0.039437775052597684,0.002558939637260639,0.03687883541533705,0.4865044985004998,0.01397154910788542,0.001151321889121195,0.012820227218764225,0.8077307564145285,17,0.03344002165318463,0.921438467879128,0.9866711096301233
combo_Uranus_Moon,0.08508217565876204,0.0055325283095895884,0.07954964734917246,0.5804731756081306,0.00869782530324027,0.0035266618233968,0.005171163479843471,0.9866711096301233,132,0.13162868594313226,0.9262952235294788,0.9866711096301233
